annotator subject1 verb1 object1 subject2 verb2 object2 score
participant1 pupil use knowledge authority exercise influence 5
participant1 superpower fight war force win battle 5
participant1 programme offer support service provide help 7
participant1 researcher develop technique government use power 2
participant1 pupil achieve end gentleman close eye 1
participant1 commodity meet requirement charity help people 3
participant1 wife pour tea woman drink water 4
participant1 product satisfy demand study emphasise need 2
participant1 paper address question project present problem 6
participant1 report stress importance firm cause injury 1
participant1 woman ask man user send message 2
participant1 customer pay price company cut cost 2
participant1 committee consider matter panel discuss issue 5
participant1 school encourage child employee leave company 1
participant1 man shut door route follow road 2
participant1 drug produce effect employee start work 4
participant1 parent set example company provide system 6
participant1 graduate begin career company suffer loss 1
participant1 patient need treatment system use method 2
participant1 study pose problem programme face difficulty 7
participant1 agent sell property group hold meeting 2
participant1 member attend conference case require attention 2
participant1 writer read word family receive letter 4
participant1 survey collect information page provide datum 5
participant1 team win match design reduce amount 2
participant1 physician pass time road cross line 2
participant1 man hear word people remember name 1
participant1 mother leave house family buy home 2
participant1 medication achieve result student reach level 5
participant1 student acquire skill doctor use test 4
participant1 man lift hand question raise head 5
participant1 girl like people plan increase number 1
participant1 author write book delegate buy land 6
participant1 people play game worker join party 4
participant1 father stretch arm man wave hand 3
participant1 people share interest member express view 7
participant5 pupil use knowledge company provide system 3
participant5 superpower fight war team win match 6
participant5 programme offer support road cross line 2
participant5 wife pour tea study emphasise need 1
participant5 product satisfy demand commodity meet requirement 7
participant5 page provide datum student reach level 3
participant5 route follow road parent set example 3
participant5 delegate buy land agent sell property 4
participant5 report stress importance company cut cost 1
participant5 woman ask man father stretch arm 3
participant5 charity help people panel discuss issue 3
participant5 question raise head paper address question 2
participant5 medication achieve result drug produce effect 5
participant5 committee consider matter study pose problem 5
participant5 worker join party employee leave company 4
participant5 man shut door gentleman close eye 5
participant5 plan increase number design reduce amount 4
participant5 user send message family receive letter 4
participant5 force win battle people play game 5
participant5 member attend conference people share interest 4
participant5 writer read word people remember name 3
participant5 company suffer loss firm cause injury 3
participant5 doctor use test physician pass time 3
participant5 mother leave house school encourage child 1
participant5 project present problem programme face difficulty 5
participant5 customer pay price graduate begin career 2
participant5 student acquire skill family buy home 4
participant5 girl like people survey collect information 1
participant5 government use power authority exercise influence 7
participant5 group hold meeting man lift hand 2
participant5 author write book man hear word 3
participant5 case require attention patient need treatment 7
participant5 man wave hand employee start work 2
participant5 member express view pupil achieve end 5
participant5 woman drink water system use method 2
participant5 service provide help researcher develop technique 5
participant6 pupil use knowledge company provide system 3
participant6 superpower fight war team win match 4
participant6 programme offer support road cross line 3
participant6 wife pour tea study emphasise need 2
participant6 author write book man hear word 2
participant6 member express view pupil achieve end 5
participant6 route follow road parent set example 5
participant6 delegate buy land agent sell property 4
participant6 report stress importance company cut cost 1
participant6 woman ask man father stretch arm 1
participant6 charity help people panel discuss issue 4
participant6 question raise head paper address question 2
participant6 medication achieve result drug produce effect 7
participant6 committee consider matter study pose problem 3
participant6 worker join party employee leave company 4
participant6 man shut door gentleman close eye 5
participant6 plan increase number design reduce amount 4
participant6 user send message family receive letter 2
participant6 force win battle people play game 5
participant6 member attend conference people share interest 2
participant6 writer read word people remember name 5
participant6 company suffer loss firm cause injury 4
participant6 doctor use test physician pass time 2
participant6 mother leave house school encourage child 3
participant6 project present problem programme face difficulty 5
participant6 customer pay price graduate begin career 3
participant6 student acquire skill family buy home 2
participant6 girl like people survey collect information 4
participant6 government use power authority exercise influence 7
participant6 group hold meeting man lift hand 2
participant6 product satisfy demand commodity meet requirement 7
participant6 case require attention patient need treatment 6
participant6 man wave hand employee start work 3
participant6 page provide datum student reach level 4
participant6 woman drink water system use method 2
participant6 service provide help researcher develop technique 6
participant8 pupil use knowledge authority exercise influence 6
participant8 superpower fight war force win battle 6
participant8 programme offer support service provide help 7
participant8 researcher develop technique government use power 5
participant8 pupil achieve end gentleman close eye 2
participant8 commodity meet requirement charity help people 5
participant8 wife pour tea woman drink water 1
participant8 author write book delegate buy land 1
participant8 paper address question project present problem 6
participant8 report stress importance firm cause injury 1
participant8 agent sell property group hold meeting 1
participant8 medication achieve result student reach level 7
participant8 committee consider matter panel discuss issue 7
participant8 school encourage child employee leave company 1
participant8 man shut door route follow road 1
participant8 drug produce effect employee start work 5
participant8 parent set example company provide system 6
participant8 graduate begin career company suffer loss 2
participant8 patient need treatment system use method 4
participant8 study pose problem programme face difficulty 5
participant8 woman ask man user send message 3
participant8 member attend conference case require attention 2
participant8 writer read word family receive letter 3
participant8 survey collect information page provide datum 7
participant8 team win match design reduce amount 1
participant8 physician pass time road cross line 3
participant8 man hear word people remember name 3
participant8 mother leave house family buy home 2
participant8 customer pay price company cut cost 3
participant8 student acquire skill doctor use test 5
participant8 man lift hand question raise head 7
participant8 girl like people plan increase number 1
participant8 product satisfy demand study emphasise need 4
participant8 people play game worker join party 6
participant8 father stretch arm man wave hand 6
participant8 people share interest member express view 6
participant9 pupil use knowledge student acquire skill 7
participant9 superpower fight war plan increase number 1
participant9 researcher develop technique system use method 6
participant9 pupil achieve end student reach level 6
participant9 people remember name physician pass time 3
participant9 wife pour tea worker join party 4
participant9 paper address question study pose problem 6
participant9 family receive letter survey collect information 5
participant9 member express view company suffer loss 2
participant9 employee start work graduate begin career 6
participant9 delegate buy land mother leave house 1
participant9 panel discuss issue project present problem 6
participant9 report stress importance study emphasise need 6
participant9 agent sell property family buy home 1
participant9 charity help people school encourage child 4
participant9 design reduce amount company cut cost 6
participant9 firm cause injury question raise head 4
participant9 man shut door page provide datum 1
participant9 road cross line route follow road 1
participant9 drug produce effect committee consider matter 3
participant9 user send message man hear word 1
participant9 patient need treatment programme offer support 1
participant9 force win battle commodity meet requirement 3
participant9 member attend conference group hold meeting 6
participant9 team win match people play game 5
participant9 company provide system government use power 5
participant9 medication achieve result man lift hand 3
participant9 gentleman close eye father stretch arm 1
participant9 programme face difficulty parent set example 4
participant9 girl like people woman ask man 1
participant9 author write book writer read word 4
participant9 case require attention customer pay price 1
participant9 man wave hand employee leave company 1
participant9 woman drink water doctor use test 1
participant9 people share interest authority exercise influence 6
participant9 service provide help product satisfy demand 7
participant13 pupil use knowledge student acquire skill 4
participant13 superpower fight war plan increase number 1
participant13 researcher develop technique system use method 5
participant13 pupil achieve end student reach level 7
participant13 people remember name physician pass time 1
participant13 wife pour tea worker join party 5
participant13 paper address question study pose problem 5
participant13 family receive letter survey collect information 4
participant13 member express view company suffer loss 1
participant13 employee start work graduate begin career 6
participant13 delegate buy land mother leave house 4
participant13 panel discuss issue project present problem 6
participant13 report stress importance study emphasise need 7
participant13 agent sell property family buy home 5
participant13 charity help people school encourage child 2
participant13 design reduce amount company cut cost 6
participant13 firm cause injury question raise head 1
participant13 man shut door page provide datum 1
participant13 road cross line route follow road 3
participant13 drug produce effect committee consider matter 1
participant13 user send message man hear word 4
participant13 patient need treatment programme offer support 2
participant13 force win battle commodity meet requirement 5
participant13 member attend conference group hold meeting 6
participant13 team win match people play game 6
participant13 company provide system government use power 2
participant13 medication achieve result man lift hand 2
participant13 gentleman close eye father stretch arm 5
participant13 programme face difficulty parent set example 4
participant13 girl like people woman ask man 2
participant13 author write book writer read word 5
